day,session,title,authors,track,room,start_time,duration_min
2025-10-10,Art and Museum,Icebreaking: Building Trust with Virtual Museum Conversational Agents,"Zi-Qiang He, Ke Jiang, Shi-Jie Ming, Xiao-Feng Huang, Huan-zhi Lou, Jun-Bo Liu",Applications,Room 204,12:00,60
2025-10-10,Art and Museum,Automated Scalable Brightness and Black Offset Seamlessness,"Ranga Sai Shreyas Manchikanti, Aditi Majumder",Applications,Room 204,12:00,60
2025-10-10,Emotions,Design and Evaluation of a Virtual Agent for Interpersonal Emotion Regulation in VR,"Sei Kang, Gun A. Lee, Hyung-Jeong Yang, Soo-Hyung Kim, Ji-eun Shin, Jaejoon Jeong, Myungho Lee, Seungwon Kim",Affect,Room 205,12:00,60
2025-10-10,Emotions,Three Techniques for Enhancing Emotional Expression on Avatar Face in VR,"Jaejoon Jeong, Gun A. Lee, Hyung-Jeong Yang, Soo-Hyung Kim, Ji-eun Shin, Gayun Suh, Sei Kang, Seungwon Kim",Affect,Room 205,12:00,60
2025-10-10,Emotions,Neurophysiological Characteristics of VR Emotion Regulation Strategies,"Pengxiang Wang, Xiaohui Tan, Tianren Luo, Fangbing Qu, Chunyue Yan, Weiqi Xu",Affect,Room 205,12:00,60
2025-10-10,Emotions,Behavioral and Symbolic Fillers as Delay Mitigation for Agents in VR,"Denmar Mojan Gonzales, Snehanjali Kalamkar, Sophie Jorg, Jens Grubert",Affect,Room 205,12:00,60
2025-10-10,Machine Learning for 3D Reconstruction and Rendering,PanoFloor: reconstruction of large multi-room scenes from panoramic images,"Giovanni Pintore, Sara Jashari, Marco Agus, Enrico Gobbetti",Machine Learning,Room 301,12:00,60
2025-10-10,Machine Learning for 3D Reconstruction and Rendering,DGDiff: Immersive 3D Indoor Scene Synthesis via Dialog-Graph Diffusion,"Yusen Liu, Xinyu Zhang, Qichuan Geng, Zhong Zhou",Machine Learning,Room 301,12:00,60
2025-10-10,Machine Learning for 3D Reconstruction and Rendering,Real-Time Photorealistic Style Transfer for Immersive VR,"Taejoon Kim, Bon-Woo Hwang, Seung-Uk Yoon, Seong-Jae Lim, Kinam Kim, Seung Wook Lee",Machine Learning,Room 301,12:00,60
2025-10-10,Machine Learning for 3D Reconstruction and Rendering,Fast SP-GS: Reconstructing Dynamic Scenes in Minutes,"Diwen Wan, Jiaxiang Tang, Ruijie Lu, Yuxiang Wang, Gang Zeng",Machine Learning,Room 301,12:00,60
2025-10-10,"Gaze, Eye Tracking and Guidance",Effects of Eye-Tracking Accuracy on Gaze-Based Steering in VEs,"Xuning Hu, Yichuan Zhang, Yushi Wei, Liangyuting Zhang, Yue Li, Wolfgang Stuerzlinger, Hai-Ning Liang",Gaze,Room 201,14:30,60
2025-10-10,"Gaze, Eye Tracking and Guidance",Focus-Aware Task Guidance: Adaptive AR Instruction Playback,"Bowen Yuan, Hyunwoo Cho, Theophilus Teo, Gun A. Lee, Mark Billinghurst",Gaze,Room 201,14:30,60
2025-10-10,"Gaze, Eye Tracking and Guidance",A Bi-Directional Deep Learning Interface for Gaze-Controlled Wheelchair Navigation,"Gianni Bremer, Joseph McIntyre, Je Hyung Jung, Stefano Ellero, Issa Mouawad, Davide Di Gloria, Markus Lappe",Gaze,Room 201,14:30,60
2025-10-10,"Gaze, Eye Tracking and Guidance",Will You Be Aware? Eye Tracking-Based Modeling of Situational Awareness in AR,"Zhehan Qu, Tianyi Hu, Christian Fronk, Maria Gorlatova",Gaze,Room 201,14:30,60
2025-10-10,3DUI 3,An Open Testbed for Mixed Reality Precise Rotation Guidance,"Mine Dastan, Fabio Vangi, Francesco Musolino, Giuseppe Coviello, Michele Fiorentino",Interaction,Room 202,14:30,60
2025-10-10,3DUI 3,Improving Mid-Air Sketching in Room-Scale VR with Color-to-Depth Cues,"Samantha Monty, Dennis Alexander Mevissen, Marc Erich Latoschik",Interaction,Room 202,14:30,60
2025-10-10,3DUI 3,MirrorPose: Full-body Gestures for HMDs with a Full-length Mirror,"Chenlong Zhang, Xingwang Xue, Xiyu Sheng, Qiang Qu, Qi Lin, Yiran Shen",Interaction,Room 202,14:30,60
2025-10-10,3DUI 3,AR Surgical Navigation With Surface Tracing,"Marc J Fischer, E. Brandon Strong",Interaction,Room 202,14:30,60
2025-10-10,Avatar 2: Capabilities,Impact of Avatar-Locomotion Congruence on User Experience in VR,"Omar Khan, Hyeongil Nam, Kangsoo Kim",Avatars,Room 204,14:30,60
2025-10-10,Avatar 2: Capabilities,The Honest Virtual Self? Avatar Personalization and Motor Control,"Anca Salagean, Darren Cosker, Danae Stanton Fraser",Avatars,Room 204,14:30,60
2025-10-10,Avatar 2: Capabilities,Can the Perceived Capability of Your Virtual Avatar Enhance Exercise Performance?,"Sen-Zhe Xu, Bosheng Huang, Zian Zhou, runyu Li, Song-Hai Zhang, Xu-Cheng Yin",Avatars,Room 204,14:30,60
2025-10-10,Haptics and Collaboration,Zero-Sum vs. Positive-Sum: Inter-team Competition and Haptic Feedback in VR,"Yu Wang, Qian qian Xiong, Yan Hu, Yulong Bian, Juan Liu, Wei Lin, Yichen Hong, Chao Zhou, Wei Gai, Shijun Liu, Chenglei Yang",Haptics,Room 205,14:30,60
2025-10-10,Haptics and Collaboration,Investigating the Effects of Haptic Illusions in Collaborative VR,"Yannick Weiss, Julian Rasch, Jonas Fischer, Florian Muller",Haptics,Room 205,14:30,60
2025-10-10,Haptics and Collaboration,Touching the Virtual Dog: Haptic Feedback on Social Bonding in VR,"Ahmad A Fouad, Hyeongil Nam, Anh Nguyen, Dongyun Han, DongHoon Kim, Isaac Cho, Kangsoo Kim",Haptics,Room 205,14:30,60
2025-10-10,Haptics and Collaboration,What Makes Object Referencing Clear? Multimodal Strategies in XR,"Jeonghyeon Kim, Jemin Lee, Youngwon Kim",Haptics,Room 205,14:30,60
2025-10-10,Depth,Toward a More Standardized Multi-directional Tapping Task in VR,"Haejun Kim, Yuhwa Hong, Jihae Yu, Shuping Xiong, Woojoo Kim",Perception,Room 301,14:30,60
2025-10-10,Depth,"Influence of Object Height, Shadow and Luminance on Outdoor Depth Perception in AR","Shining Ma, Chaochao Liu, Jingyuan Wang, Yue Liu, Yongtian Wang, Weitao Song",Perception,Room 301,14:30,60
2025-10-10,Depth,Viewpoint-Tolerant Depth Perception for Shared Extended Space,"Dooyoung Kim, Jinseok Hong, Heejeong Ko, Woontack Woo",Perception,Room 301,14:30,60
2025-10-10,Depth,Improving Pointing Accuracy for 3D Target Selection in VR,"Songyue Yang, Kang Yueh, Haolin Gao, YY Yang, Mei Guo, Yu Liu, Zhonghao Zhu, Yue Liu",Perception,Room 301,14:30,60
2025-10-11,Multimodality,EEG2Gaussian: Decoding and Visualizing Visual-Evoked EEG for VR Scenes,"Ming Li, Qiang Qu, Xiaoming Chen, Longfei Han, Haisheng Li, Yiran Shen",Multimodal,Room 201,09:00,60
2025-10-11,Multimodality,Cross-Subject Cognitive Load Recognition in VR Using EEG and Eye-Tracking,"Shiwei Cheng, Jiaqi Dong, Yang Liu",Multimodal,Room 201,09:00,60
2025-10-11,Multimodality,Influence of Cognitive Load on Physiological Signals in VR,"Jorge Pina, Edurne Bernal-Berdun, Daniel Martin, Sandra Malpica, Carmen Real, Alberto Barquero, Pablo Armanac, Jesus Lazaro, Alba Martin, Belen Masia, Ana Serrano",Multimodal,Room 201,09:00,60
2025-10-11,Multimodality,MIRAGE: Multimodal Intention Recognition in VR Teleoperation,"Chi Sun, Xian Wang, Abhishek Kumar, Chengbin Cui, Lik-Hang Lee",Multimodal,Room 201,09:00,60
2025-10-11,Locomotion and Teleportation,Negotiated User-to-Group Teleportations in Social VR,"Wentong Shu, Yi-Jun Li, Haozhong Yang, Zinan Han, Frank Steinicke, Miao Wang",Locomotion,Room 202,09:00,60
2025-10-11,Locomotion and Teleportation,FootPorting: Foot-Based Teleportation for Seated Users,"Tingjie Wan, Yunxin Xu, Yue Li, Nilufar Baghaei, Hai-Ning Liang",Locomotion,Room 202,09:00,60
2025-10-11,Locomotion and Teleportation,Time and Distance Perception in Egocentric Teleportation,"Matthias Wolwer, Daniel Zielasko",Locomotion,Room 202,09:00,60
2025-10-11,Locomotion and Teleportation,SafeTeleport: Potential Field-Guided Teleportation for Personal Space,"Yi-Jun Li, Sen-Zhe Xu, Wentong Shu, Haozhong Yang, Zinan Han, Miao Wang, Song-Hai Zhang",Locomotion,Room 202,09:00,60
2025-10-11,Agents Personalization,Move Like an Ammonite: Personalizing Force Feedback for Avatar Embodiment,"Shun Kondoh, Takeru Hashimoto, Takuji Narumi",Agents,Room 204,09:00,60
2025-10-11,Agents Personalization,What if Virtual Agents Had Scents?,"Dongyun Han, Siyeon Bak, So-Hui Kim, Kangsoo Kim, Sun-Jeong Kim, Isaac Cho",Agents,Room 204,09:00,60
2025-10-11,Agents Personalization,PersoNo: Personalised Notification Urgency Classifier in MR,"Jingyao Zheng, Haodi Weng, Xian Wang, Chengbin Cui, Sven Mayer, Chi-lok Tai, Lik-Hang Lee",Agents,Room 204,09:00,60
2025-10-11,Training for and against Natural Phenomena,Transitional Mixed Reality Interfaces: Co-design with Flood-prone Communities,"Zhiling Jie, Geert Lugtenberg, Renjie Zhang, Armin Teubert, Makoto Fujisawa, Hideaki Uchiyama, Kiyoshi Kiyokawa, Isidro Butaslac, Taishi Sawabe, Hirokazu Kato",Training,Room 205,09:00,60
2025-10-11,Training for and against Natural Phenomena,Integrated AR and VR Technologies for Realistic Fire Drill Training,"Hosan Kang, Jinseong Yang, Beom-Seok Ko, Bo-Seong Kim, Oh-Young Song, Soo-Mi Choi",Training,Room 205,09:00,60
2025-10-11,Training for and against Natural Phenomena,"Clean Training, Clear Skies: VR Training for Smoke Opacity Certification","Ethan Seefried, Videep Venkatesha, Nathaniel Blanchard, Mohammed Safayet Arefin",Training,Room 205,09:00,60
2025-10-11,Training for and against Natural Phenomena,Transforming Avalanche Rescue Training with VR,"Pascal Knierim, Anna-Lena Hetzenauer, Christoph Sitar",Training,Room 205,09:00,60
2025-10-11,Guiding,Effects of AR Guidance Position within a Body-Fixed Coordinate System,"Shunbo Wang, Qing Xu, Klaus Schoeffmann",Guidance,Room 301,09:00,60
2025-10-11,Guiding,Do You Even Need a City Guide Anymore? Expert Adoption of XR for City Tours,"Margarita Chikobava, Antonio Kruger",Guidance,Room 301,09:00,60
2025-10-11,Guiding,Investigating Encoding and Perspective for AR Motion Guidance,"Jade Kandel, Sriya Kasumarthi, Spiros Tsalikis, Chelsea Duppen, Daniel Szafir, Michael Lewek, Henry Fuchs, Danielle Albers Szafir",Guidance,Room 301,09:00,60
2025-10-11,Guiding,ImmerJM: A 3D Design Tool for Creating User Journey Maps,"Mingming Wang, Xiaoyu Zhang, Weiyue Gao, Yihan Mei, Haiyan Jiang, Yusheng Guo, Henry Been-Lirn Duh, Zhibin Zhou",Guidance,Room 301,09:00,60
2025-10-11,Touch and Display,DOF-Separation for 3D Manipulation in XR,"Thorbjorn Mikkelsen, Qiushi Zhou, Mathias N. Lystbaek, Yang Liu, Hans Gellersen, Ken Pfeuffer",Displays,Room 201,10:30,60
2025-10-11,Touch and Display,Exploring Body-Anchored AR Interfaces Across Mobility and Social Contexts,"Marium-E- Jannat, Shukan Miteshkumar Shah, Khalad Hasan",Displays,Room 201,10:30,60
2025-10-11,Touch and Display,Handows: A Palm-Based Interactive Multi-Window Management System in VR,"Jindu Wang, Ke Zhou, Haoyu Ren, Per Ola Kristensson, Xiang Li",Displays,Room 201,10:30,60
2025-10-11,Touch and Display,"Ada: A Distributed, Power-Aware, Real-Time Scene Provider for XR","Yihan Pang, Sushant Kondguli, Shenlong Wang, Sarita Adve",Displays,Room 201,10:30,60
2025-10-11,"Locomotion, Redirection, and Object Manipulation",Weighted-Area Based Alignment Metric for Redirected Walking in VR,"Po Fan Yu, Huan-Chang Hung, Xue Liang Wu, Jung-Hong Chuang",Locomotion,Room 202,10:30,60
2025-10-11,"Locomotion, Redirection, and Object Manipulation",Have A Seat: Reactive Alignment of a Single Target in VR,"Habiba Hesham Mohamed AbdelAziz, Yutaro Hirao, Monica Perusquia-Hernandez, Hideaki Uchiyama, Kiyoshi Kiyokawa",Locomotion,Room 202,10:30,60
2025-10-11,"Locomotion, Redirection, and Object Manipulation",Defying Gravity: Gravitoinertial Retargeting for Virtual Vertical Motion in In-Car VR,"Bocheon Gim, Seongjun Kang, Dohyeon Yeo, Gwangbin Kim, Juwon Um, Jeongju Park, SeungJun Kim",Locomotion,Room 202,10:30,60
2025-10-11,"Locomotion, Redirection, and Object Manipulation",MR-CoCo: A Mixed Reality Testbed for Co-located Product Configuration,"Fabio Vangi, Daniel Medeiros, Mine Dastan, Michele Fiorentino",Locomotion,Room 202,10:30,60
2025-10-11,Audio,Birds of a Feather Augment Together: Sonic Links in Audio AR,"Jacob Bhattacharyya, Alessandro Vinciarelli, Stephen Anthony Brewster",Audio,Room 204,10:30,60
2025-10-11,Audio,Sonify Anything: Context-Aware Sonic Interactions in AR,"Laura Schutz, Sasan Matinfar, Ulrich Eck, Daniel Roth, Nassir Navab",Audio,Room 204,10:30,60
2025-10-11,Audio,EgoTrigger: Audio-Driven Image Capture for Memory Enhancement in Smart Glasses,"Akshay Paruchuri, Sinan Hersek, Lavisha Aggarwal, Qiao Yang, Xin Liu, Achin Kulshrestha, Andrea Colaco, Henry Fuchs, Ishan Chatterjee",Audio,Room 204,10:30,60
2025-10-11,Audio,First-Person Vocal Auralisation in XR,"Mauricio Flores-Vargas, Enda Bates, Rachel McDonnell",Audio,Room 204,10:30,60
2025-10-11,Authentication,Casual-VRAuth: Behavioral Authentication in VR,"Guanyu Ye, BoYu Gao, Huawei Tu",Security,Room 205,10:30,60
2025-10-11,Authentication,cLock: Single-Handed Two-Factor Authentication in VR,"Xueyang Wang, Xin Yi, Jiaqi Li, Shuning Zhang, BoYu Gao, Hewu Li",Security,Room 205,10:30,60
2025-10-11,Authentication,Reflecting on User Accounts of In-Transit Passenger XR,"Katharina Margareta Theresa Pohlmann, Graham Wilson, Laura Bajorunaite, Mark McGill, Joseph O'Hagan",Security,Room 205,10:30,60
2025-10-11,Authentication,Siren Song: Acoustic Attacks on Pose Estimation in XR Headsets,"Zijian Huang, Yicheng Zhang, Sophie Chen, Nael Abu-Ghazaleh, Jiasi Chen",Security,Room 205,10:30,60
2025-10-11,Multimodal Systems,MRPilot: A Mixed-Reality System for Responsive Guidance of Procedural Tasks,"Hongliang Yang, Jin Zhou, Pengfei Xu, Hongbo Fu, Hui Huang",Multimodal,Room 301,10:30,60
2025-10-11,Multimodal Systems,SAMR: Spatial-Augmented Mixed Reality for Vision-Language Models,"Junjian Lin, WenZhuo Sun, Xiangyu Zhang, Jianjian Wang, Pingfa Feng, Dingwen Yu, Jianfu Zhang",Multimodal,Room 301,10:30,60
2025-10-11,Multimodal Systems,SGSG: Stroke-Guided Scene Graph Generation,"Qixiang Ma, Runze Fan, Lizhi Zhao, Jian Wu, Sio Kei Im, Lili Wang",Multimodal,Room 301,10:30,60
2025-10-11,Multimodal Systems,Multimodal Classification of Distraction in VR Learning,"Nicholas P Fisher, Arun K Kulshreshth",Multimodal,Room 301,10:30,60
2025-10-11,Eye and Perception,When One Eye Sees Less: Perceptual Thresholds of Asymmetric Quality in 4K XR,"Haechan Lee, Namil Kim, Hoe Sung Ryu, Uijong Ju",Perception,Room 201,12:00,60
2025-10-11,Eye and Perception,Examining Eye Vergence During Perceived Depth Changes in Optical See-Through AR,"Matthew Sturgeon, Dakota D Kenoyer-Healy, Russell Cohen-Hoffing, Steven M. Thurman, Mohammed Safayet Arefin",Perception,Room 201,12:00,60
2025-10-11,Eye and Perception,WarpVision: Using Spatial Curvature to Guide Attention in VR,"Jerome Kudnick, Martin Weier, Colin Groth, Biying Fu, Robin Horst",Perception,Room 201,12:00,60
2025-10-11,Eye and Perception,How Accurate is the HoloLens 2?,"Bruno Gabriel Cavalcante Lima, Bruno Georgevich Ferreira, Tiago Vieira, Edvar Monteiro Neto, Renalvo Alves Ferreira, Arthur Vangasse, Vergilio Torezan Silingardi Del Claro",Perception,Room 201,12:00,60
2025-10-11,Mobile XR,A Multi-Sensor Approach for Cognitive Load Assessment in Mobile AR (II),"Martin Pluisch, Jan Gugenheimer, Youngjun Cho, Simon Julier, Ernst Kruijff",Mobile,Room 202,12:00,60
2025-10-11,Mobile XR,See What I Mean? Mobile Eye-Perspective Rendering for OST HMDs,"Gerlinde Emsenhuber, Tobias Langlotz, Denis Kalkofen, Markus Tatzgern",Mobile,Room 202,12:00,60
2025-10-11,Mobile XR,EVER: Edge-Assisted Auto-Verification for Mobile MR-Aided Operation,"Jiangong Chen, Mingyu Zhu, Bin Li",Mobile,Room 202,12:00,60
2025-10-11,Mobile XR,Cardboard Controller: A Cost-Effective Method for Mobile VR,"Kristen Grinyer, Robert J. Teather",Mobile,Room 202,12:00,60
2025-10-11,Well-being,VR as a Drop-In Well-being Tool for Knowledge Workers,"Sophia Ppali, Haris Psallidopoulos, Marios Constantinides, Fotis Liarokapis",Health,Room 204,12:00,60
2025-10-11,Well-being,Can AI Inspire Biophilic Design in Immersive VR Workspaces?,"Sara Romano, Luana Marangelli, Enricoandrea Laviola, Antonio E. Uva, Michele Gattullo",Health,Room 204,12:00,60
2025-10-11,Well-being,Experiencing Immersive Virtual Nature for Well-Being: A Scoping Review,"Jeewoo Kim, Svara Patel, Hyeongil Nam, Janghee Cho, Kangsoo Kim",Health,Room 204,12:00,60
2025-10-11,Cybersickness Reduction,Neck Goes VRrr: Reducing Rotation-Induced VR Sickness through Neck Vibrations,"Kun-Woo Song, Sang Ho Yoon",Cybersickness,Room 205,12:00,60
2025-10-11,Cybersickness Reduction,Do Vibrotactile Virtual Walking Sensations Reduce VR Cybersickness?,"Jaewan Lim, Sooyeon Choi, Jimin Ryu, Taeyoon Lee, Jiyoung Park, Yongjae Yoo",Cybersickness,Room 205,12:00,60
2025-10-11,Cybersickness Reduction,Unwinding Rotations Reduces VR Sickness in Immersive Telepresence,"Filip Kulisiewicz, Basak Sakcak, Evan G. Center, Juho Kalliokoski, Katherine J. Mimnaugh, Steven LaValle, Timo Ojala",Cybersickness,Room 205,12:00,60
2025-10-11,Cybersickness Reduction,"Sitting or standing in VR: Comfort, Conflicts, and Hazards","Daniel Zelasko, Bernhard Riecke",Cybersickness,Room 205,12:00,60
2025-10-11,Machine Learning and Human Animation,HFM-GS: half-face mapping 3DGS avatar for real-time HMD removal,"Kangyu Wang, Jian Wu, Runze Fan, Hongwen Zhang, Sio Kei Im, Lili Wang",Machine Learning,Room 301,12:00,60
2025-10-11,Machine Learning and Human Animation,AniDream: Generating Skeleton-Guided Anime Avatars from Text,"Fernanda Miyuki Yamada, Hiroki Takahashi",Machine Learning,Room 301,12:00,60
2025-10-11,Machine Learning and Human Animation,HaHeAE: Learning Joint Representations of Hand and Head Movements in XR,"Zhiming Hu, Guanhua Zhang, Zheming Yin, Daniel Haufle, Syn Schmitt, Andreas Bulling",Machine Learning,Room 301,12:00,60
2025-10-11,Machine Learning and Human Animation,From Notation to Gesture: Virtual Conductor Gesture Generation in VR,"Haozhe Ma, Yuxin Shen, Wei Liang, Yunde Jia",Machine Learning,Room 301,12:00,60
2025-10-11,Visual Cues and Perception,AR Support for Swarm Monitoring: Visual Cues to Prevent Fragmentation,"Aymeric Henard, Etienne Peillard, Jeremy Riviere, Sebastien Kubicki, Gilles Coppin",Perception,Room 201,14:30,60
2025-10-11,Visual Cues and Perception,Cross-media Color Appearance Reproduction in Optical See-Through AR,"Jiahong Luo, Shining Ma, Yue Liu, Yongtian Wang, Weitao Song",Perception,Room 201,14:30,60
2025-10-11,Visual Cues and Perception,The Cost of Virtuality Switching in Optical-See-Through AR,"Kangyou Yu, Yunhao Luo, Radha Kumaran, Shane Dirksen, Misha Sra, Tobias Hollerer",Perception,Room 201,14:30,60
2025-10-11,Visual Cues and Perception,Seeing What Matters: Attentional Alignment Between Humans and AI in VR Driving,"Hoe Sung Ryu, Uijong Ju, Christian Wallraven",Perception,Room 201,14:30,60
2025-10-11,Machine Learning and Rendering for Objects and Hands,Dual Focus Multiscale Attention for Object Detection in MR,"Salah eddine Laidoudi, Madjid Maidi, Samir Otmane",Machine Learning,Room 202,14:30,60
2025-10-11,Machine Learning and Rendering for Objects and Hands,EgoBlur: Blurry Egocentric XR Dataset for Robust Hand Pose Estimation,"Chae Eun Lee, Anmol Namdev, haeri jang, Prateek Kukreja, Meghana Shankar, Green Rosh, Pawan Prasad BH, Sung Soo Choi, Kihwan Kim",Machine Learning,Room 202,14:30,60
2025-10-11,Machine Learning and Rendering for Objects and Hands,Scalable Object Detection in MR using Incremental Re-training,"Alireza Taheritajar, Jeffrey L Benson, Anthony Gibson, Brandon Wilburn, Jieqiong Zhao, Jason Orlosky",Machine Learning,Room 202,14:30,60
2025-10-11,Machine Learning and Rendering for Objects and Hands,GSHOI Denoiser: Denoising Gaussian Hand-Object Interaction Rendering,"Lizhi Zhao, Xuequan Lu, Bin Hu, Jian Wu, Wei Ke, Lili Wang",Machine Learning,Room 202,14:30,60
2025-10-11,Haptics 2,Passive Haptics Role in VR-Based Ergonomic Workplace Assessment,"Robin Griessel, Britta Weber, Benjamin Weyers",Haptics,Room 204,14:30,60
2025-10-11,Haptics 2,Investigating the Potential of Haptic Props for 3D Object Manipulation in AR,"Jonathan Wieland, Maximilian Durr, Rebecca Frisch, Melissa Michalke, Dominik Morgenstern, Harald Reiterer",Haptics,Room 204,14:30,60
2025-10-11,Haptics 2,A Handheld Stiffness Display with a Programmable Spring (II),"Ke Shi, Quan Xiong, Maozeng Zhang, Aiguo Song, Lifeng Zhu",Haptics,Room 204,14:30,60
2025-10-11,Haptics 2,HaptiCeiling: An Encountered-type Overhead Haptic Interface in VR,"Kaihan Wang, Han Shi, Junyu Chen, Xuesong Zhang, Seungwoo Je",Haptics,Room 204,14:30,60
2025-10-11,Video Presentations 3: XR Interactions,Spatiotemporal Calibration for High-Precision SLAM Benchmarking in XR,"Zichao Shu, Shitao Bei, Lijun Li, Zetao Chen",Interaction,Room 205,14:30,60
2025-10-11,Video Presentations 3: XR Interactions,Why Slow Feels Fast and Fast Feels Slow (II),"Xi Peng, Colin Groth, Daniel Jimenez Navarro, Zihao Zou, Yan Zhu, Ana Serrano, Karol Myszkowski, Qi Sun, Praneeth Chakravarthula",Interaction,Room 205,14:30,60
2025-10-11,Video Presentations 3: XR Interactions,Experience Level Influences Criteria for Avatar Animation Realism,"Yudong Huang, Avneet Singh, Mark Roman Miller",Interaction,Room 205,14:30,60
2025-10-11,Video Presentations 3: XR Interactions,Heart Flows with Zen: Multi-modal MR for Cultural Heritage,"Wenchen Winston Guo, Zhirui Chen, Guoyu Sun, Hailiang Wang",Interaction,Room 205,14:30,60
2025-10-09,Keynote Talk I,Keynote Talk I,TBA,Keynote,Room 201,09:00,60
2025-10-10,Keynote Talk II,Keynote Talk II,TBA,Keynote,Room 201,09:00,60
2025-10-11,Keynote Talk III,Keynote Talk III,TBA,Keynote,Room 201,16:00,60
